type, value, quantity, info,
case, hammond 17x7x3, 1,,
connector, 4-pin mic socket,1,,
connector, 4-pin mic plug,2,,
connector, M4 crimp eyelet,1,,
connector, 18awg crimp spade connector,4,,
connector, Faston 250 PCB terminal,4,,power distribution PCB,
inductor, 0.45uh, 2, 7A ferrite bead,power distribution PCB,
capacitor, 10uf, 2, 50v electrolytic,power distribution PCB,
capacitor, 100nf, 2, 5% ceramic,power distribution PCB,
hardware, M3 8mm threaded spacer, 4,,power distribution PCB,
hardware, M3 19mm hinged threaded spacer, 4,holding bracket to rail,
hardware, M3 19mm threaded spacer, 4,holding bracket to rail,
hardware, M3 12mm threaded spacer, 4,faceplate bracket to holding bracket,
wire, 4 core 18awg,1,,
wire, black 18awg,1,,
wire, blue 18awg,1,,
wire, red 18awg,1,,
misc, heatshrink,1,18awg suitable,
hardware, M4 machine bolt,1,,
hardware, M4 nut,1,,
hardware, Laser 0980 Riveting Nuts - 3mm,6,,
